Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior
price_1NjtuJArNcC9EQIo6aka48LO,prod_OWxpDDEPMhZ4LN,Aerial Photography - Size C - Premium,,txcd_20030000,,2023-08-28 01:06,478.00,usd,,,,,per_unit,,unspecified
price_1NjttrArNcC9EQIomdKDBxV4,prod_OWxpCKbrS4q4Pw,Aerial Photography - Size C - Standard,,txcd_20030000,,2023-08-28 01:05,534.00,usd,,,,,per_unit,,unspecified
price_1NjtsmArNcC9EQIoHmpK7NRZ,prod_OWxosjxyBhO3QI,Aerial Photography - Size C - Basic,,txcd_20030000,,2023-08-28 01:04,590.00,usd,,,,,per_unit,,unspecified
price_1NjtreArNcC9EQIoOTmZSycp,prod_OWxnolnOa1n44q,Aerial Photography - Size B - Premium,,txcd_20030000,,2023-08-28 01:03,239.00,usd,,,,,per_unit,,unspecified
price_1NjtoxArNcC9EQIoV2O7Jgld,prod_OWxkfH4GVXqFNz,Aerial Photography - Size B - Standard,,txcd_20030000,,2023-08-28 01:00,267.00,usd,,,,,per_unit,,unspecified
price_1NjtoVArNcC9EQIoIazH2aVb,prod_OWxjLHwXiBxo1I,Aerial Photography - Size B - Basic,,txcd_20030000,,2023-08-28 01:00,295.00,usd,,,,,per_unit,,unspecified
price_1NjtnuArNcC9EQIo7KLgsEH4,prod_OWxjdtfjmpf548,Aerial Photography - Size A - Premium,,txcd_20030000,,2023-08-28 00:59,66.00,usd,,,,,per_unit,,unspecified
price_1NjtnXArNcC9EQIoClfEjHRI,prod_OWxiICuJBrcz3e,Aerial Photography - Size A - Standard,,txcd_20030000,,2023-08-28 00:59,73.00,usd,,,,,per_unit,,unspecified
price_1NjtmdArNcC9EQIoRhEDtn6M,prod_OWxiNkkrN1Cw6c,Aerial Photography - Size A - Basic,,txcd_20030000,,2023-08-28 00:58,80.00,usd,,,,,per_unit,,unspecified
price_1Njti9ArNcC9EQIov3Oytb9u,prod_OWxdcu8scT2Eno,Real Estate - Size F - Premium,,txcd_20030000,,2023-08-28 00:53,605.00,usd,,,,,per_unit,,unspecified
