Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior
price_1No8PqArNcC9EQIocmZhRxla,prod_ObL63iC4Oq5E8U,Construction - Size A - Basic,,txcd_20030000,,2023-09-08 17:24,474.99,usd,,,,,per_unit,,unspecified
price_1No8PgArNcC9EQIo9eTwf4G3,prod_ObL5cMogGhMzEL,Construction - Size A - Standard,,txcd_20030000,,2023-09-08 17:24,426.99,usd,,,,,per_unit,,unspecified
price_1No8PXArNcC9EQIoHrnfvYrb,prod_ObL5InWComicAj,Construction - Size A - Premium,,txcd_20030000,,2023-09-08 17:24,379.99,usd,,,,,per_unit,,unspecified
price_1No8PLArNcC9EQIo3VH1jj7Y,prod_ObL5OBMyOguYuH,Construction - Size B - Basic,,txcd_20030000,,2023-09-08 17:23,855.99,usd,,,,,per_unit,,unspecified
price_1No8P8ArNcC9EQIoeh4qODoC,prod_ObL5D1wpPLq5gp,Construction - Size B - Standard,,txcd_20030000,,2023-09-08 17:23,807.99,usd,,,,,per_unit,,unspecified
price_1No8OuArNcC9EQIoSYFZ7amX,prod_ObL5fTL91QBVN7,Construction - Size B - Premium,,txcd_20030000,,2023-09-08 17:23,762.99,usd,,,,,per_unit,,unspecified
price_1No8OaArNcC9EQIoibYDguIb,prod_ObL4pVM5T0YHhY,Construction - Size C - Basic,,txcd_20030000,,2023-09-08 17:23,1190.00,usd,,,,,per_unit,,unspecified
price_1No8OMArNcC9EQIo6qQ0DCtr,prod_ObL4WynIrWSh00,Construction - Size C - Standard,,txcd_20030000,,2023-09-08 17:22,1145.99,usd,,,,,per_unit,,unspecified
price_1No8O5ArNcC9EQIoRKrM6KwU,prod_ObL465HmQ6THiN,Construction - Size C - Premium,,txcd_20030000,,2023-09-08 17:22,1114.99,usd,,,,,per_unit,,unspecified
price_1No8N3ArNcC9EQIoncoq39Ko,prod_ObL3C2EfiCO65i,Real Estate - Size A - Basic,,txcd_20030000,,2023-09-08 17:21,250.00,usd,,,,,per_unit,,unspecified
price_1No8MrArNcC9EQIoiVvItTDf,prod_ObL2HQ3P6cnCoi,Real Estate - Size A - Standard,,txcd_20030000,,2023-09-08 17:21,240.00,usd,,,,,per_unit,,unspecified
price_1No8MhArNcC9EQIo8KDJ2Azr,prod_ObL2S2raetKXGl,Real Estate - Size A - Premium,,txcd_20030000,,2023-09-08 17:21,230.00,usd,,,,,per_unit,,unspecified
