video_url,button_img,button_text
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Dedicated Project Manager
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Free Hosting
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Kick-Off Call to Discuss Flight Plan
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,40 Aerial Photos
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Raw Footage from Site Visit
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Custom 20 min. Drone Video Shot
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,360&deg; Aerial Orbit of Entire Site
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,2 Flyover Shots in Opposite Directions
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Lawnmower Shot of Entire Site
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Dolly Shot Facing First Floor
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Photo Timelapse
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Video Timelapse
