video_url,button_img,button_text
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Dedicated Project Manager
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Free Hosting
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Kick-Off Call to Discuss Flight Plan
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,40 Aerial Photos
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Raw Footage from Site Visit
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Forward Flight
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Birds Eye View
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Birds Eye View - Twist n' Shout
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Established Pan
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Rise and Tilt Down
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,180&deg; Wrap Around
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Pull Away
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Wrap Around Pull Away
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Detail Shots
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Over Rooftop
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Aerial Marketing Video
https://player.vimeo.com/video/447948883?badge=0&autoplay=1&loop=1,assets/img/gallery/services7.png,Aerial Marketing Video w/ Synchronized Music
